502948 17/10/2017 15:18:43: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@16746061 (msg: , command: null, text: null, date: Tue Oct 17 15:18:43 CEST 2017, id: 47.19926546514009, undoable: false) 
502952 17/10/2017 15:18:43: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@57fd91c9 (msg: , command: null, text: null, date: Tue Oct 17 15:18:43 CEST 2017, id: 349.1987370952587, undoable: false) 
502956 17/10/2017 15:18:43: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@6cfcd46d (msg: , command: null, text: null, date: Tue Oct 17 15:18:43 CEST 2017, id: 150.58716758728906, undoable: false) 
502960 17/10/2017 15:18:43: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@52045dbe (msg: , command: null, text: null, date: Tue Oct 17 15:18:43 CEST 2017, id: 5.94762060604026, undoable: false) 
502964 17/10/2017 15:18:43: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@674658f7 (msg: , command: null, text: null, date: Tue Oct 17 15:18:43 CEST 2017, id: 132.06743284901123, undoable: false) 
502968 17/10/2017 15:18:43: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@5c8eee0f (msg: , command: null, text: null, date: Tue Oct 17 15:18:43 CEST 2017, id: 996.8154700495509, undoable: false) 
502972 17/10/2017 15:18:43: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@565b064f (msg: , command: null, text: null, date: Tue Oct 17 15:18:43 CEST 2017, id: 276.5733783163126, undoable: false) 
502976 17/10/2017 15:18:43: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@26425897 (msg: , command: null, text: null, date: Tue Oct 17 15:18:43 CEST 2017, id: 905.2439006240257, undoable: false) 
502980 17/10/2017 15:18:43: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@73163d48 (msg: , command: null, text: null, date: Tue Oct 17 15:18:43 CEST 2017, id: 6.17265385396637, undoable: false) 
502984 17/10/2017 15:18:43: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@58c34bb3 (msg: , command: null, text: null, date: Tue Oct 17 15:18:43 CEST 2017, id: 645.3081336222989, undoable: false) 
502988 17/10/2017 15:18:43: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@56a4479a (msg: , command: null, text: null, date: Tue Oct 17 15:18:43 CEST 2017, id: 912.0962533158433, undoable: false) 
502992 17/10/2017 15:18:43: [main] INFO  Modelado  Mensaje recibido: projectHistory.impl.MsgImpl@62163b39 (msg: , command: null, text: null, date: Tue Oct 17 15:18:43 CEST 2017, id: 606.0818541815825, undoable: false) 
